,S&P500,KOSPI200
2017-06-16,2433.15,306.79
2017-06-15,2432.46,306.69
2017-06-14,2437.92,307.95
2017-06-13,2440.35,308.02
2017-06-12,2429.39,306.24
2017-06-09,2431.77,309.38
2017-06-08,2433.79,306.25
2017-06-07,2433.14,305.68
2017-06-06,2429.33,305.68
2017-06-05,2436.1,307.33
2017-06-02,2439.07,307.83
2017-06-01,2430.06,304.03
2017-05-31,2411.8,304.67
2017-05-30,2412.91,304.59
2017-05-29,2412.91,306.52
2017-05-26,2415.82,306.96
2017-05-25,2415.07,305.22
2017-05-24,2404.39,301.71
2017-05-23,2398.42,301.36
2017-05-22,2394.02,300.63
2017-05-19,2381.73,298.08
2017-05-18,2365.72,298.47
2017-05-17,2357.03,299.34
2017-05-16,2400.67,299.67
2017-05-15,2402.32,298.87
2017-05-12,2390.9,298.25
2017-05-11,2394.44,299.75
2017-05-10,2399.63,296.19
2017-05-09,2396.92,296.19
2017-05-08,2399.38,299.86
2017-05-05,2399.29,299.86
2017-05-04,2389.52,292.47
2017-05-03,2388.13,292.47
2017-05-02,2391.17,289.65
2017-05-01,2388.33,289.65
2017-04-28,2384.2,287.21
2017-04-27,2388.77,287.34
2017-04-26,2387.45,286.78
2017-04-25,2388.61,285.41
2017-04-24,2374.15,281.96
2017-04-21,2348.69,280.05
2017-04-20,2355.84,277.76
2017-04-19,2338.17,276.49
2017-04-18,2342.19,278.23
2017-04-17,2349.01,278.1
2017-04-14,2349.01,277.31
2017-04-13,2328.95,279.12
2017-04-12,2344.93,276.21
2017-04-11,2353.78,275.49
2017-04-10,2357.16,277.21
2017-04-07,2355.54,279.01
2017-04-06,2357.49,279.47
2017-04-05,2352.95,280.74
2017-04-04,2360.16,280.92
2017-04-03,2358.84,281.6
2017-03-31,2362.72,280.64
2017-03-30,2368.06,281.66
2017-03-29,2361.13,281.86
2017-03-28,2358.57,281.25
2017-03-27,2341.59,280.36
2017-03-24,2343.98,282.31
2017-03-23,2345.96,282.81
2017-03-22,2348.45,282.63
2017-03-21,2344.02,283.84
2017-03-20,2373.47,280.75
2017-03-17,2378.25,281.86
2017-03-16,2381.38,280.11
2017-03-15,2385.26,277.89
2017-03-14,2365.45,277.89
2017-03-13,2373.47,275.41
2017-03-10,2372.6,272.29
2017-03-09,2364.87,271.62
2017-03-08,2362.98,272.29
2017-03-07,2368.39,271.87
2017-03-06,2375.31,270.41
2017-03-03,2383.12,269.77
2017-03-02,2381.92,272.65
2017-03-01,2395.96,272.65
2017-02-28,2363.64,270.06
2017-02-27,2369.75,268.97
2017-02-24,2367.34,270.38
2017-02-23,2363.81,272.89
2017-02-22,2362.82,272.85
2017-02-21,2365.38,272.11
2017-02-20,2365.38,269.73
2017-02-17,2351.16,268.84
2017-02-16,2347.22,268.93
2017-02-15,2349.25,268.81
2017-02-14,2337.58,267.9
2017-02-13,2328.25,268.81
2017-02-10,2316.1,268.66
2017-02-09,2307.87,267.69
2017-02-08,2294.67,267.72
2017-02-07,2293.08,268.97
2017-02-06,2292.56,269.49
2017-02-03,2297.42,268.85
2017-02-02,2280.85,268.49
2017-02-01,2279.55,269.56
2017-01-31,2278.87,268.09
2017-01-30,2280.9,268.09
2017-01-27,2294.69,268.09
2017-01-26,2296.68,270.48
2017-01-25,2298.37,268.15
2017-01-24,2280.07,267.3
2017-01-23,2265.2,267.12
2017-01-20,2271.31,266.52
2017-01-19,2263.69,267.7
