,K10 Market Cap,K10
2017-03-28,425141583866724.6,110.07441609809486
2017-03-27,427163146418503.75,110.59782365439406
2017-03-24,427773247174833.94,110.75578628863758
2017-03-23,429101165252827.0,111.09960070860505
2017-03-22,431195479136868.56,111.64184448493788
2017-03-21,434858658458023.9,112.59028693361914
2017-03-20,422395820383652.9,109.36350396055776
2017-03-17,423907640480427.94,109.75493288850298
2017-03-16,421647877518195.44,109.1698522988192
2017-03-15,418008162005862.0,108.22748492054626
2017-03-14,418613363747120.9,108.3841791391751
2017-03-13,415006728352881.1,107.45037661275812
2017-03-10,408813061908151.75,105.84675973950569
2017-03-09,406931908338479.06,105.35970580587428
2017-03-08,408689178443077.44,105.8146847776583
2017-03-07,409307047438690.5,105.97465870516416
2017-03-06,408895041801656.0,105.86798534822452
2017-03-03,406659596985082.25,105.28920102732637
2017-03-02,410213095902325.5,106.20924586242153
2017-02-28,398622512299890.6,103.20830036405289
2017-02-27,399088379331558.2,103.32891910245941
2017-02-24,401337721643971.4,103.91130165697619
2017-02-23,408536925030593.8,105.7752644854214
2017-02-22,408312294182092.75,105.71710477951477
2017-02-21,405920281320510.0,105.09778305463642
2017-02-20,402206785786272.56,104.13631311585429
2017-02-17,398626183152060.75,103.20925079309708
2017-02-16,398184256811568.44,103.09483059584039
2017-02-15,394769091369677.75,102.2106020090354
2017-02-14,392709009030374.8,101.67722120316283
2017-02-13,398418998328176.2,103.15560807881339
2017-02-10,400086286631554.4,103.58728964896784
2017-02-09,399558333769672.3,103.45059612096613
2017-02-08,401532133871942.2,103.96163738814977
2017-02-07,403862326631786.94,104.56495312382319
2017-02-06,404197644954305.5,104.65177118622613
2017-02-03,403573321986787.4,104.49012624554273
2017-02-02,402377146952602.2,104.18042172959885
2017-02-01,402448913231471.6,104.1990029071215
2017-01-31,400977107291924.8,103.81793413955509
2017-01-26,404904199252954.8,104.83470683594089
2017-01-25,401691108928877.75,104.00279799729834
2017-01-24,396656205305011.75,102.6991991550807
2017-01-23,397287077092345.9,102.8625396662393
2017-01-20,395183794555300.3,102.3179737946797
2017-01-19,399468895485286.6,103.42743944256965
2017-01-18,394857579293840.8,102.23351262741195
2017-01-17,396119604028211.7,102.5602664454548
2017-01-16,394646308132582.5,102.17881190982428
2017-01-13,398614502423485.44,103.20622650794992
2017-01-12,406461268931488.94,105.23785144045085
2017-01-11,403476901278046.75,104.4651617310912
2017-01-10,395724927628907.56,102.45807984256837
2017-01-09,393260411552314.94,101.81998613828291
2017-01-06,390842304517454.75,101.19390830909465
2017-01-05,387018406122287.6,100.20385370366604
2017-01-04,392337090503414.5,101.58092689499642
2017-01-03,388519197264557.3,100.59242709883485
2017-01-02,386231059802172.25,100.0
